category,revenue_rs_lakhs,orders_lakhs,avg_order_value_rs,pct_of_total_revenue,yoy_change_pct,avg_rating,avg_items_per_order
Biryani & Rice,3280,924,355,22.1,3.2,4.4,1.8
Burgers & Fast Food,2180,748,291,14.7,1.8,4.1,2.2
Pizza,1940,618,314,13.1,-0.4,4.2,1.6
Chinese & Asian,1620,544,298,10.9,2.1,4.0,2.4
South Indian,1480,526,281,9.9,0.9,4.3,2.6
Desserts & Sweets,890,374,238,6.0,4.3,4.5,2.0
Healthy & Salads,740,272,272,5.0,6.1,4.3,1.8
Beverages,680,486,140,4.6,3.7,4.2,2.8
Seafood,420,118,356,2.8,2.4,4.1,1.6
North Indian,380,124,306,2.6,-0.8,4.0,2.2
Breakfast,340,182,187,2.3,1.6,4.2,2.4
Cakes & Bakery,310,148,209,2.1,5.2,4.4,1.8
Rolls & Wraps,280,126,222,1.9,0.6,4.0,2.0
Others,280,108,259,1.9,-1.2,3.9,2.0
