month,year,revenue_rs_lakhs,orders_lakhs,avg_order_value_rs,active_restaurants,active_users_cr,new_users_lakhs,cancelled_orders_lakhs,avg_delivery_min,on_time_delivery_pct,cancellation_rate_pct,delivery_partner_rating,orders_per_de_per_day,avg_delivery_fee_rs
Apr,2024,1080,218,321,194820,7.8,18.2,10.4,33.1,88.2,4.8,4.18,18.4,38.0
May,2024,1120,224,318,197340,8.0,17.9,10.6,32.8,88.8,4.6,4.19,18.8,37.4
Jun,2024,1090,216,322,198600,8.1,16.4,10.2,32.4,89.1,4.3,4.20,19.0,36.8
Jul,2024,1180,238,319,200120,8.3,19.8,11.0,31.9,89.6,4.2,4.21,19.4,36.2
Aug,2024,1240,251,316,204480,8.5,21.2,11.3,31.4,90.2,4.1,4.22,19.8,35.6
Sep,2024,1230,247,318,206840,8.6,19.4,11.1,31.8,90.8,3.9,4.22,20.0,35.0
Oct,2024,1310,264,317,208900,8.8,22.6,11.8,30.6,91.2,3.8,4.23,20.4,34.4
Nov,2024,1390,278,320,212340,9.0,24.1,12.1,30.2,91.6,3.7,4.24,20.8,33.8
Dec,2024,1450,291,322,214880,9.2,26.8,12.4,29.8,92.0,3.6,4.25,21.0,33.2
Jan,2025,1260,253,319,216020,9.3,20.4,11.5,29.6,92.4,3.6,4.26,21.2,33.0
Feb,2025,1190,239,317,217460,9.3,17.8,10.9,29.4,92.6,3.5,4.26,21.2,32.8
Mar,2025,1280,257,321,218540,9.4,21.6,11.2,29.6,92.8,3.6,4.27,21.3,33.2
